record_type,sample_id,prompt_name,analysis_group,reasoning_operation,image_dependence_tier,target_answer,target_token_id,target_token,top_k,actual_k,control_group,mask_condition,candidate_ids,feature_ids,positions,activation_drop_sum,clean_activation_sum,target_logit_effect,target_rank_effect,wrong_logit_effect,wrong_rank_effect,gap_closure,clean_target_logit,mask_target_logit,clean_target_rank,mask_target_rank
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,source,answer_mask,qwen_evidence_first_0001,2235,129,16.625,36.5,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,source,answer_mask,qwen_evidence_first_0001,2235,129,16.625,36.5,0.0625,16,0.0,0,0.012195121951219513,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001,6386,129,2.5,21.875,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001,6386,129,2.5,21.875,0.03125,15,-0.0625,0,0.006097560975609756,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001,2235,100,16.5,36.5,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001,2235,100,16.5,36.5,0.03125,20,0.0,0,0.006097560975609756,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,random_active_feature_control,answer_mask,qwen_evidence_first_0001,7242,129,4.189453125,4.5,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,random_active_feature_control,answer_mask,qwen_evidence_first_0001,7242,129,4.189453125,4.5,-0.03125,1,0.0,0,-0.006097560975609756,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,129|147|207|115,86.25,165.5,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,129|147|207|115,86.25,165.5,-0.03125,9,0.0,0,-0.006097560975609756,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6386|6386|6386|6386,129|147|207|115,27.375,108.0,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6386|6386|6386|6386,129|147|207|115,27.375,108.0,0.0,15,0.0,0,0.0,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,100|114|188|112,45.75,165.5,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,100|114|188|112,45.75,165.5,0.0,14,-0.0625,0,0.0,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,7242|4103|3808|4724,129|147|207|115,12.798828125,16.953125,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,7242|4103|3808|4724,129|147|207|115,12.798828125,16.953125,0.0625,31,0.0,0,0.012195121951219513,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,8,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,129|147|207|115,86.25,165.5,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,8,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,129|147|207|115,86.25,165.5,-0.03125,9,0.0,0,-0.006097560975609756,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,8,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6386|6386|6386|6386,129|147|207|115,27.375,108.0,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,8,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6386|6386|6386|6386,129|147|207|115,27.375,108.0,0.0,15,0.0,0,0.0,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,8,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,100|114|188|112,45.75,165.5,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,8,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,100|114|188|112,45.75,165.5,0.0,14,-0.0625,0,0.0,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,8,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,7242|4103|3808|4724,129|147|207|115,12.798828125,16.953125,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,8,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,7242|4103|3808|4724,129|147|207|115,12.798828125,16.953125,0.0625,31,0.0,0,0.012195121951219513,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,16,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,129|147|207|115,86.25,165.5,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,16,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2235|2235|2235|2235,129|147|207|115,86.25,165.5,-0.03125,9,0.0,0,-0.006097560975609756,12.625,7.5,26,464
