record_type,sample_id,prompt_name,analysis_group,reasoning_operation,image_dependence_tier,target_answer,target_token_id,target_token,top_k,actual_k,control_group,mask_condition,candidate_ids,feature_ids,positions,activation_drop_sum,clean_activation_sum,target_logit_effect,target_rank_effect,wrong_logit_effect,wrong_rank_effect,gap_closure,clean_target_logit,mask_target_logit,clean_target_rank,mask_target_rank
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,source,answer_mask,qwen_evidence_first_0001,6403,36,34.875,48.5,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,source,answer_mask,qwen_evidence_first_0001,6403,36,34.875,48.5,-0.0625,0,-0.125,-6,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001,1083,36,14.875,44.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001,1083,36,14.875,44.25,0.0625,1,0.0,-5,0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001,6403,17,8.0,46.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001,6403,17,8.0,46.0,-0.0625,1,-0.0625,-4,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,random_active_feature_control,answer_mask,qwen_evidence_first_0001,2176,36,0.9375,0.9375,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,random_active_feature_control,answer_mask,qwen_evidence_first_0001,2176,36,0.9375,0.9375,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,0.0,0,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,0.0,1,0.0,1,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,-0.0625,0,-0.0625,-2,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,0.0,0,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,0.0,1,0.0,1,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,-0.0625,0,-0.0625,-2,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,0.0,0,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,0.0,1,0.0,1,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,-0.0625,0,-0.0625,-2,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,32,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,32,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,0.0,0,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,32,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,32,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,32,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,32,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,0.0,1,0.0,1,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,32,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,32,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,-0.0625,0,-0.0625,-2,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,64,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,64,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,0.0,0,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,64,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,64,4,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,64,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,64,4,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,0.0,1,0.0,1,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,64,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,64,4,random_active_feature_control,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,-0.0625,0,-0.0625,-2,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,source,union_mask,qwen_evidence_first_0001,6403,36,34.875,48.5,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,source,union_mask,qwen_evidence_first_0001,6403,36,34.875,48.5,-0.0625,0,-0.125,-6,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,same_position_matched_feature_control,union_mask,qwen_evidence_first_0001,1083,36,14.875,44.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,same_position_matched_feature_control,union_mask,qwen_evidence_first_0001,1083,36,14.875,44.25,0.0625,1,0.0,-5,0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,same_feature_random_position_control,union_mask,qwen_evidence_first_0001,6403,17,8.0,46.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,same_feature_random_position_control,union_mask,qwen_evidence_first_0001,6403,17,8.0,46.0,-0.0625,1,-0.0625,-4,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,random_active_feature_control,union_mask,qwen_evidence_first_0001,2176,36,0.9375,0.9375,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,1,1,random_active_feature_control,union_mask,qwen_evidence_first_0001,2176,36,0.9375,0.9375,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,source,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,source,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,0.0,0,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,same_position_matched_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,same_position_matched_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,same_feature_random_position_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,same_feature_random_position_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,0.0,1,0.0,1,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,random_active_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,4,4,random_active_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,-0.0625,0,-0.0625,-2,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,source,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,source,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,0.0,0,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,same_position_matched_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,same_position_matched_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,same_feature_random_position_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,same_feature_random_position_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,17|85|24|44,51.875,143.5,0.0,1,0.0,1,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,random_active_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,8,4,random_active_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,2176|3657|8035|3384,36|108|56|129,11.2431640625,11.3828125,-0.0625,0,-0.0625,-2,-0.034482758620689655,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,source,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,source,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6403|6403|6403|6403,36|108|56|129,108.625,146.0,0.0,0,-0.0625,-5,0.0,15.4375,13.625,4,8
activation_drop,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,same_position_matched_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,,,,,,15.4375,13.625,4,8
group_restore,okvqa_val_00893,B_direct,non_numeric,relation_reasoning,low,electricity,63365,electric,16,4,same_position_matched_feature_control,union_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,1083|7084|1083|7084,36|108|56|129,58.53125,141.25,0.0,1,-0.0625,-5,0.0,15.4375,13.625,4,8
