candidate_id,include_main,analysis_group,sample_id,run,prompt_name,reasoning_operation,image_dependence_tier,source_node_id,source_feature_id,source_pos,source_zeroing_mode,target_answer,target_token_id,target_token,wrong_token_id,wrong_token,intervention_kind,mask_condition,control_group,control_feature_id,control_pos,control_activation,control_direct_effect,clean_feature_activation,mask_feature_activation,activation_drop,token_scored,scored_token_id,before_logit,after_logit,logit_effect,before_rank,after_rank,rank_effect,gap_closure,clean_target_logit,clean_target_rank,mask_target_logit,mask_target_rank,status,error_message
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,clean_zeroing,clean,source,6346,30,45.0,0.23376050870865583,45.0,,,target,2738,12.625,12.6875,-0.0625,26,27,1,,12.625,26,,,ok,
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,clean_zeroing,clean,source,6346,30,45.0,0.23376050870865583,45.0,,,wrong,576,18.0,18.125,-0.125,1,1,0,,12.625,26,,,ok,
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,clean_zeroing,clean,same_position_matched_feature_control,7909,30,18.625,0.19327526923734695,18.625,,,target,2738,12.625,12.6875,-0.0625,26,26,0,,12.625,26,,,ok,
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,clean_zeroing,clean,same_position_matched_feature_control,7909,30,18.625,0.19327526923734695,18.625,,,wrong,576,18.0,18.0,0.0,1,1,0,,12.625,26,,,ok,
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,clean_zeroing,clean,same_feature_random_position_control,6346,130,43.5,,43.5,,,target,2738,12.625,12.625,0.0,26,27,1,,12.625,26,,,ok,
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,clean_zeroing,clean,same_feature_random_position_control,6346,130,43.5,,43.5,,,wrong,576,18.0,17.875,0.125,1,1,0,,12.625,26,,,ok,
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,clean_zeroing,clean,random_active_feature_control,7360,30,1.0,,1.0,,,target,2738,12.625,12.75,-0.125,26,26,0,,12.625,26,,,ok,
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,clean_zeroing,clean,random_active_feature_control,7360,30,1.0,,1.0,,,wrong,576,18.0,18.0,0.0,1,1,0,,12.625,26,,,ok,
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,mask_restore,answer_mask,source,6346,30,45.0,0.23376050870865583,45.0,24.375,20.625,target,2738,7.5,7.53125,0.03125,464,446,18,0.006097560975609756,12.625,26,7.5,464,ok,
qwen_evidence_first_0001,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,relation_reasoning,low,F:L13:P30:ID6346,6346,30,subtract,view,2738, View,576, The,mask_restore,answer_mask,source,6346,30,45.0,0.23376050870865583,45.0,24.375,20.625,wrong,576,15.8125,15.8125,0.0,2,2,0,-0.0,12.625,26,7.5,464,ok,
