candidate_id,candidate_source,include_main,include_pool,include_sensitivity_rank10,candidate_rank_within_prompt_run,analysis_group,sample_id,run,prompt_name,source_zeroing_mode,source_node_id,layer,source_pos,source_feature_id,position_group,best_real_condition,path_mass_best,target_token_id,target_token,wrong_token_id,wrong_token,original_target_logit,original_target_rank,original_top1_token,clean_target_logit,clean_target_rank,clean_top1_token,clean_activation,answer_mask_drop,union_mask_drop,shifted_mask_drop,shuffled_mask_drop,real_drop_best,control_drop_max,evidence_specificity,target_contribution,wrong_target_contribution,correct_minus_wrong_contribution,evidence_first_score,damage_score,visual_position_count,answer_adjacent_position_count,known_damaging_feature_ids_for_prompt_run,image_filename,local_image_path,question_text,answer_text,reasoning_operation,image_dependence_tier,paperpack_source,mask_dir,answer_mask_path,union_mask_path,shifted_mask_path,shuffled_mask_path
qwen_evidence_first_0001,evidence_first_discovery,1,1,0,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L15:P129:ID2235,15,129,2235,visual_answer,answer_mask,0.30743257560152143,2738, View,576, The,12.75,18, The,12.75,18, The,36.5,17.625,17.625,-4.5,-6.25,17.625,-4.5,22.125,0.003833871567621827,-0.004833412356674671,0.003833871567621827,0.30743257560152143,0.30743257560152143,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0002,evidence_first_discovery,1,1,0,2,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L15:P147:ID2235,15,147,2235,visual_answer,answer_mask,0.2503699874416479,2738, View,576, The,12.75,18, The,12.75,18, The,40.75,24.5,24.5,2.75,7.0,24.5,7.0,17.5,0.003833871567621827,-0.004833412356674671,0.003833871567621827,0.2503699874416479,0.2503699874416479,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0003,evidence_first_discovery,1,1,0,3,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L15:P207:ID2235,15,207,2235,visual_answer,answer_mask,0.23640756912766664,2738, View,576, The,12.75,18, The,12.75,18, The,50.75,31.875,31.875,16.0,16.25,31.875,16.25,15.625,0.003833871567621827,-0.004833412356674671,0.003833871567621827,0.23640756912766664,0.23640756912766664,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0004,evidence_first_discovery,1,1,0,4,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L15:P115:ID2235,15,115,2235,visual_answer,answer_mask,0.2095676757609163,2738, View,576, The,12.75,18, The,12.75,18, The,37.25,14.75,14.75,-3.5,-0.25,14.75,-0.25,15.0,0.003833871567621827,-0.004833412356674671,0.003833871567621827,0.2095676757609163,0.2095676757609163,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0005,evidence_first_discovery,0,1,0,5,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L15:P205:ID2235,15,205,2235,visual_answer,answer_mask,0.20009250754710642,2738, View,576, The,12.75,18, The,12.75,18, The,46.75,25.25,25.25,3.75,11.75,25.25,11.75,13.5,0.003833871567621827,-0.004833412356674671,0.003833871567621827,0.20009250754710642,0.20009250754710642,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0006,evidence_first_discovery,0,1,0,6,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L15:P132:ID2235,15,132,2235,visual_answer,answer_mask,0.1902544771199872,2738, View,576, The,12.75,18, The,12.75,18, The,34.75,17.75,17.75,3.875,-2.5,17.75,3.875,13.875,0.003833871567621827,-0.004833412356674671,0.003833871567621827,0.1902544771199872,0.1902544771199872,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0007,evidence_first_discovery,0,1,0,7,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L15:P90:ID2235,15,90,2235,visual_answer,answer_mask,0.17761838226792415,2738, View,576, The,12.75,18, The,12.75,18, The,32.0,11.25,11.25,-7.0,-2.0,11.25,-2.0,13.25,0.003833871567621827,-0.004833412356674671,0.003833871567621827,0.17761838226792415,0.17761838226792415,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0008,evidence_first_discovery,0,1,0,8,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L15:P128:ID2235,15,128,2235,visual_answer,answer_mask,0.17028379682078915,2738, View,576, The,12.75,18, The,12.75,18, The,39.5,13.5,13.5,-1.0,1.5,13.5,1.5,12.0,0.003833871567621827,-0.004833412356674671,0.003833871567621827,0.17028379682078915,0.17028379682078915,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0009,evidence_first_discovery,1,1,1,1,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L15:P107:ID5892,15,107,5892,visual_answer,answer_mask,2.5986708805948604,63365,electric,22,7,15.375,5,7,15.375,5,7,63.75,32.25,32.25,6.25,4.5,32.25,6.25,26.0,0.023965489119291306,-0.011487378738820553,0.023965489119291306,2.5986708805948604,2.5986708805948604,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0010,evidence_first_discovery,1,1,1,2,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L15:P85:ID5892,15,85,5892,visual_answer,answer_mask,1.5801352315666706,63365,electric,22,7,15.375,5,7,15.375,5,7,46.0,23.375,23.375,6.25,-9.0,23.375,6.25,17.125,0.023965489119291306,-0.011487378738820553,0.023965489119291306,1.5801352315666706,1.5801352315666706,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
